nama,harga,diskon,terjual,kota,url_produk
Samsung a5 2016,"Rp80,000",,,Kota Magelang,https://www.lazada.co.id/products/pdp-i8714318589.html
Samsung Galaxy A15 5G & 4G 8GB/256GB 6.5 FHD + Super AMOLED official warranty-extra packing,"Rp1,850,000",8%,21,Kota Jakarta Selatan,https://www.lazada.co.id/products/pdp-i8243162329.html
SAMSUNG GALAXY A04 RAM 4/64GB GARANSI RESMI,"Rp1,399,000",,,Kab. Nganjuk,https://www.lazada.co.id/products/pdp-i7871578314.html
samsung a03 core,"Rp1,150,000",,,Kab. Rembang,https://www.lazada.co.id/products/pdp-i7327048689.html
"Samsung Galaxy A17 5G 8GB 256GB Screen 6.7 ""Super AMOLED 90Hz Exynos 1330 IP54 certified","Rp3,300,000",,,Kota Jakarta Barat,https://www.lazada.co.id/products/pdp-i8822998173.html
"Samsung Galaxy A15 8/128GB - Blue Black

garansi resmi","Rp2,300,000",4%,,Kota Jakarta Selatan,https://www.lazada.co.id/products/pdp-i8419970848.html
Samsung Galaxy J2 Prime Sm-3G532G-Ds,"Rp80,000",20%,,Kab. Tangerang,https://www.lazada.co.id/products/pdp-i8728570618.html
samsung a04e,"Rp1,187,000",,,Kab. Rembang,https://www.lazada.co.id/products/pdp-i7538296932.html
Samsung J5 j500g custom ROM Android 10 ready to use Read description,"Rp245,000",,,Kab. Banyuwangi,https://www.lazada.co.id/products/pdp-i8824136363.html
Samsung Galaxy A26 5G 8/256GB,"Rp3,000,000",,,Kab. Bekasi,https://www.lazada.co.id/products/pdp-i8783588500.html
"Samsung Lakota Gt-C3322 Normal, Worth Using, All Operators' Networks Minus Reading the Description","Rp95,000",,,Kab. Tegal,https://www.lazada.co.id/products/pdp-i8786112013.html
Samsung J4 Plus Second Hand,"Rp415,000",,,Kab. Karanganyar,https://www.lazada.co.id/products/pdp-i8804968268.html
"Samsung A10S Minus Normal Touch Screen Crack, Still Suitable for Use, Selling the Unit Only","Rp400,000",,,Kab. Bandung,https://www.lazada.co.id/products/pdp-i8817996766.html
Used/Second Hand Samsung J2 Prime,"Rp195,000",,,Kab. Tasikmalaya,https://www.lazada.co.id/products/pdp-i8807522985.html
samsung a14 4/128,"Rp2,199,000",,,Kab. Rembang,https://www.lazada.co.id/products/pdp-i7599884670.html
Samsung A16 5G RAM 8 GB/ 256 GB,"Rp1,700,000",,,Kota Tangerang Selatan,https://www.lazada.co.id/products/pdp-i8624008420.html
Special Promotion! !! Samsung Galaxy A05S & A05 Ram 6/128 Gb Snapdragon 680 / 50 Mp Camera,"Rp1,040,000",13%,100,Kota Jakarta Selatan,https://www.lazada.co.id/products/pdp-i8140970485.html
"[Promo] Samsung A15 5g 8/256Gb Fullset Cellphone, Trustworthy and Reliable","Rp1,399,000",30%,,Kota Jakarta Barat,https://www.lazada.co.id/products/pdp-i8817044976.html
Deals!!! Samsung A72 8/256 Samsung A72 original full set [cashback 100rb],"Rp3,031,650",70%,24,Kota Jakarta Barat,https://www.lazada.co.id/products/pdp-i7708118083.html
Samsung A32 6/128,"Rp2,000,000",,,Kab. Bandung Barat,https://www.lazada.co.id/products/pdp-i8745314817.html
PROMO !! SAMSUNG GALAXY S9+ PLUS  S9 PLUS 6/64 - ORIGINAL EX RESMI SEIN RAM 6GB ROM 64GB  -  FULLSET,"Rp2,775,000",60%,71,Kota Jakarta Barat,https://www.lazada.co.id/products/pdp-i6941800954.html
Samsung Galaxy J Docomo Sc-02F Sgh-N075T 4g Lte 3Gb/16Gb 3Gb/32Gb,"Rp149,999",,,Kab. Cirebon,https://www.lazada.co.id/products/pdp-i8796714840.html
Samsung Grand Prime Minus Used Second Normal Condition,"Rp100,000",23%,,Kab. Cirebon,https://www.lazada.co.id/products/pdp-i8779956462.html
Samsung A14 fulset nominus gransi resmi ori,"Rp1,210,500",17%,28,Kab. Bogor,https://www.lazada.co.id/products/pdp-i7965614779.html
"Samsung 340XAA
Processor : Intel Celeron N3865U
Ram : 4GB
SSD  : 128GB","Rp1,280,000",,,Kab. Cianjur,https://www.lazada.co.id/products/pdp-i8632136483.html
SAMSUNG A05s 6/128,"Rp2,099,000",5%,,Kota Surabaya,https://www.lazada.co.id/products/pdp-i8312454810.html
Samsung A12 4/64Gb Second Hand Ex Inter Original Without Wifi Only,"Rp600,000",33%,,Kota Tangerang,https://www.lazada.co.id/products/pdp-i8813294942.html
samsung j4+,"Rp600,000",,,Kab. Tegal,https://www.lazada.co.id/products/pdp-i7750878880.html
Cheap Samsung J2 Prime Normal Second Hand Ready to Use,"Rp245,000",,,Kab. Cirebon,https://www.lazada.co.id/products/pdp-i8816838434.html
CUCI GUDANG HP SAMSUNG J2 PRIME SECOND NORMAL SIAP PAKAI,"Rp140,000",,116,Kab. Cirebon,https://www.lazada.co.id/products/pdp-i8141944137.html
Best Selling Samsung Galaxy J2Prem Hp Normal Ready to Use Second Quality,"Rp142,100",2%,14,Kab. Cirebon,https://www.lazada.co.id/products/pdp-i8709102480.html
Samsung a10s,"Rp325,000",7%,,Kab. Bandung,https://www.lazada.co.id/products/pdp-i8214074983.html
Samsung Tab 4 T231 Normal,"Rp295,000",35%,68,Kab. Cirebon,https://www.lazada.co.id/products/pdp-i6417396693.html
HP SAMSUNG GT-E1272 (BARU) [GARANSI 1 TAHUN] HP Lipat Klasik Dual SIM,"Rp158,013",12%,8.5K,Kota Jakarta Utara,https://www.lazada.co.id/products/pdp-i5935708714.html
Used Hp Matot Samsung J5 Sm-G570Y/Ds & J2 Sm-G532G/Ds,"Rp35,000",,,Kab. Nganjuk,https://www.lazada.co.id/products/pdp-i8798070492.html
Samsung Galaxy A07 8/256 Vs 6/128 Vs 4/128 Vs 4/64 Gb - Helio G99 - 6.7Inch Pls Lcd - Can Cod,"Rp1,156,320",17%,16,Kab. Madiun,https://www.lazada.co.id/products/pdp-i8758332817.html
samsung a10s,"Rp50,000",,,Kab. Cilacap,https://www.lazada.co.id/products/pdp-i8720836686.html
"Samsung Galaxy A16 Lte 8/128Gb - Black |   Fhd+ Smartphone |   Amoled Screen |   5,000 Mah Battery","Rp2,599,000",,288,Kab. Tangerang,https://www.lazada.co.id/products/pdp-i8703838356.html
SAMSUNG J200 4G NORMAL,"Rp160,000",,5,Kab. Cirebon,https://www.lazada.co.id/products/pdp-i8639364684.html
Samsung Z Fold 6 Ram 12GB Rom 256GB Second Original,"Rp13,980,000",17%,,Kota Surabaya,https://www.lazada.co.id/products/pdp-i8744204619.html
Deals!!! Samsung Galaxy Note 8 6/64 original fullset-promo promo!! Flash Sale!!,"Rp2,591,211",71%,32,Kota Jakarta Barat,https://www.lazada.co.id/products/pdp-i7272708565.html
PROMO ! SAMSUNG GALAXY S10 PLUS ORIGINAL S10+ RAM 8GB ROM 128GB - 8/128  FLASH SALE !,"Rp3,690,750",63%,19,Kota Jakarta Barat,https://www.lazada.co.id/products/pdp-i7505164402.html
Samsung A56 5G New seal official turn signal,"Rp4,999,999",2%,,Kab. Cianjur,https://www.lazada.co.id/products/pdp-i8816826313.html
Samsung A35 5G 8/256 official warranty,"Rp5,500,000",,,Kab. Sukabumi,https://www.lazada.co.id/products/pdp-i8748494860.html
PROMO 2023 ! SAMSUNG GALAXY S8+ PLUS 64GB RAM 4GB 12MP - Corning Gorilla Glass 5 - CUCI GUDANG HARI INI !!!,"Rp2,491,111",75%,40,Kota Jakarta Barat,https://www.lazada.co.id/products/pdp-i6940648969.html
Samsung A06 4/64Gb Fullset Second Ex Officially Original Used Normally,"Rp950,000",14%,,Kota Tangerang,https://www.lazada.co.id/products/pdp-i8803480727.html
Samsung a02s,"Rp550,000",,,Kab. Garut,https://www.lazada.co.id/products/pdp-i8807214094.html
Samsung A36 5g,"Rp5,000,000",,,Kab. Bogor,https://www.lazada.co.id/products/pdp-i8797836605.html
Samsung A05,"Rp1,400,000",,,Kab. Pangandaran,https://www.lazada.co.id/products/pdp-i8163602901.html
Samsung Galaxy Z Flip 3 8/128 Ex Official Warranty Sein Fullset,"Rp4,955,211",50%,41,Kota Jakarta Barat,https://www.lazada.co.id/products/pdp-i8112692204.html
samsung A05s 6/ 128GB,"Rp2,000,000",,,Kota Jakarta Pusat,https://www.lazada.co.id/products/pdp-i8397608150.html
Samsung A35 5g 8/256Gb,"Rp4,000,000",,,Kab. Ngawi,https://www.lazada.co.id/products/pdp-i8710606779.html
Samsung A50 6/128,"Rp880,000",,,Kota Serang,https://www.lazada.co.id/products/pdp-i7152164964.html
samsung a05s,"Rp1,950,000",,,Kab. Rembang,https://www.lazada.co.id/products/pdp-i8395794866.html
Used Samsung Galaxy Z flip 7,"Rp9,500,000",,,Kota Bandung,https://www.lazada.co.id/products/pdp-i8816632194.html
